what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458343000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458343000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458343406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458343500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458404671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458408140
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458417546
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458417609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458427078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458427078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458427187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458429578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458435500
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458436781
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458436875
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395458453968
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395458466703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458477953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458574171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458577421
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458581359
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458581421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1395458590921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395458593265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395458599593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458600906
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458602375
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458602437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458607421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458883281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458884906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458886171
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458886421
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1395458886921
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1395458886921
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1395458886921
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1395458886953
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1395458887000
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1395458887000
